,store_id,store_name,business_hours,address,url
0,00000001,らぁ麺や 嶋,"営業時間
[月〜金]9:30頃～16:00(売り切れ次第終了)
定休日
土曜日、日曜日、祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都渋谷区本町3-41-12,https://tabelog.com/tokyo/A1304/A130401/13247487/
1,00000002,宍道湖しじみ中華蕎麦 琥珀 東京本店,"営業時間
［ 平日 ］11:30 〜 15:00 L.O
定休日
土曜・日曜・祝日（臨休はTwitterにて告知 @ramenkohaku）",東京都大田区西六郷2-1-3,https://tabelog.com/tokyo/A1315/A131503/13234195/
2,00000003,Ramen FeeL,"営業時間
11:00～15:00 [土・日・祝]11:00～16:00
日曜営業
定休日
水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都青梅市梅郷4-695-1,https://tabelog.com/tokyo/A1330/A133003/13254631/
3,00000004,むかん,"営業時間
営業時間やメニューは日によって変わりますのでX（旧Twitter）にて確認お願い致しますX（旧Twitter）から予約宜しくお願いいたします
定休日
水曜日、日曜日",東京都中野区中央2-2-24 大江戸コーポ 1F,https://tabelog.com/tokyo/A1319/A131903/13271524/
4,00000005,中華そば しば田,"営業時間
［月火水金土］11:00～15:0017:30〜20:00［木曜日］11:00〜15:00
定休日
日曜日、第一月曜日、第三月曜日(月曜日が祝日の場合は翌火曜日)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都調布市若葉町2-25-20,https://tabelog.com/tokyo/A1326/A132601/13162681/
5,00000006,ジャパニーズ ラーメン 五感,"営業時間
11:30～15:00
定休日
月、火　定休日
12/6(水)お休み
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都豊島区東池袋2-57-2 コスモ東池袋 101,https://tabelog.com/tokyo/A1305/A130501/13284009/
6,00000007,Homemade Ramen 麦苗,"営業時間
11:00～15:30＊注＊午前9時頃からウェイティングボードが店頭に出ますので注意書きをよく確認の上、記名し、指定された集合時刻に戻ってくるシステムです。一人で複数人数分の席も取れます。
日曜営業
定休日
水曜日、木曜日(他にも月に数日有。twitterにて確認）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都品川区南大井6-11-10,https://tabelog.com/tokyo/A1315/A131502/13194812/
7,00000008,麺屋吉左右,"営業時間
11:30～15:00
定休日
水曜・金曜・日曜
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都江東区東陽1-11-3,https://tabelog.com/tokyo/A1313/A131303/13021140/
8,00000009,入鹿TOKYO 六本木,"営業時間
[火～日]11:00～21:00(L.O.20:50)
日曜営業
定休日
月曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都港区六本木4-12-12 穂高ビル 1F,https://tabelog.com/tokyo/A1307/A130701/13264260/
9,00000010,入鹿TOKYO,"営業時間
[月]　11:00～15:00＊店内営業[火～日]　11:00～15:00＊テイクアウトのみ
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都東久留米市本町1-4-28,https://tabelog.com/tokyo/A1328/A132802/13234223/
10,00000011,銀座 八五,"営業時間
11:00～ 当日の並び順でのご案内※当日分のスープがなくなり次第受付を終了いたします。12:30～ ご予約者様のご案内
日曜営業
定休日
月曜日、火曜日（不定休）※定休日の最新情報は、twitterをご覧ください。",東京都中央区銀座3-14-2 第一はなぶさビル 1F,https://tabelog.com/tokyo/A1301/A130101/13228602/
11,00000013,創作麺工房 鳴龍,"営業時間
11:00～15:00
日曜営業
定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都豊島区南大塚2-34-4 SKY南大塚 1F,https://tabelog.com/tokyo/A1323/A132302/13141302/
12,00000014,成城青果,"営業時間
［月～金］ 11:00～15:00 17:00～25:00(L.O.24:45) ［土,日,祝］ 11:00～翌1:00(L.O.24:45)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都世田谷区南烏山3-1-11 芦花パークヒル 1F,https://tabelog.com/tokyo/A1318/A131809/13247939/
13,00000015,桜上水 船越,"営業時間
11:00～15:00(土・祝は16:30～20:00の変則営業の場合も有り)
定休日
水曜日、日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都杉並区下高井戸1-21-10 1F,https://tabelog.com/tokyo/A1318/A131809/13281101/
14,00000016,メヂカそば 吟魚,"営業時間
11:00～14:30(L.O.)※スープ売切れ次第閉店
日曜営業
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都日野市石田2-9-1,https://tabelog.com/tokyo/A1329/A132903/13272366/
15,00000017,麺屋 さくら井,"営業時間
[月・火・木・金・日]11:30～15:00[土]11:30～15:0018:00～20:30
日曜営業
定休日
水曜日(水曜は豚骨魚介のお店 KEN軒 として営業)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都武蔵野市西久保2-15-27,https://tabelog.com/tokyo/A1320/A132002/13202438/
16,00000018,味噌っ子 ふっく,"営業時間
[月・水・木・金]昼11:00～15:00夜18:00～21:00[土・日・祝]昼11:00～15:00夜17:00～21:00(売り切れ次第終)
日曜営業
定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都杉並区上荻2-40-11 四面道ビル 1F,https://tabelog.com/tokyo/A1319/A131906/13226777/
17,00000019,麺処 しろくろ,,東京都杉並区上高井戸1-1-7,https://tabelog.com/tokyo/A1318/A131809/13242508/
18,00000020,Ramen Break Beats,"営業時間
11:30～15:00※現在はお昼営業のみ朝9:30分から記帳開始。お並びが多い場合は記帳開始を早める場合がございます。
定休日
臨時休業等ございますのでご来店前に必ず、Twitter、Instagramでご確認ください。",東京都目黒区目黒4-21-19 アイビーハイツ 1F,https://tabelog.com/tokyo/A1317/A131701/13267329/
19,00000021,中華そば 多賀野,"営業時間
11:30～14:30※スープが終わり次第終了
日曜営業
定休日
水曜日",東京都品川区中延2-15-10,https://tabelog.com/tokyo/A1317/A131712/13003421/
20,00000022,つけ麺 道,"営業時間
[水～日]11:30～(スープなくなり次第終了)だいたい18:00～19:00頃※特記事項水～日でも営業変更でらーめん道の塩の営業となる
日曜営業
定休日
月～火(らーめん道の塩の営業日が定休日)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都葛飾区亀有5-28-17,https://tabelog.com/tokyo/A1324/A132403/13094595/
21,00000024,三ん寅,"営業時間
11:00～15:00(L.O) 17:30～20:00(L.O) (昼夜共に材料売り切れによる早目の終了あり)
日曜営業
定休日
不定休 (休みは店内とTwitterで告知)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都新宿区山吹町362 プレステージ362,https://tabelog.com/tokyo/A1309/A130905/13240660/
22,00000025,中華そば 児ノ木,"営業時間
11:00〜15:0017:30〜21:00その他、臨時休業等の情報はTwitterにて随時更新しております
日曜営業
定休日
月、金",東京都新宿区上落合1-5-3,https://tabelog.com/tokyo/A1319/A131901/13154006/
23,00000026,手打麺祭 かめ囲,"営業時間
[月・木～日]11:00～14:3018:00～20:00[火]11:00～14:30
日曜営業
定休日
水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都調布市菊野台1-55-1 コーポえびすい 1F,https://tabelog.com/tokyo/A1326/A132601/13273350/
24,00000027,Tokyo Style Noodle ほたて日和,"営業時間
[月・火・木・金]11:00～15:0017:30～20:00[土・日・祝]11:00～15:00
日曜営業
定休日
水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都千代田区神田佐久間町2-25,https://tabelog.com/tokyo/A1310/A131001/13280086/
25,00000028,麺屋一燈,"営業時間
【月～日】11:00～15:00／18:00～21:00
日曜営業
定休日
年末年始・夏季休業・設備点検のための臨時休業あり",東京都葛飾区東新小岩1-4-17,https://tabelog.com/tokyo/A1312/A131204/13111737/
26,00000029,タンタン,"営業時間
[火～金]11:00～14:30
定休日
月曜日、土曜日、日曜日、祝日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都八王子市子安町1-30-6,https://tabelog.com/tokyo/A1329/A132904/13046007/
27,00000030,一条流がんこ総本家分家四谷荒木町,"営業時間
9:00～13:00（L.O.）
日曜営業
定休日
不定休（公式twitterを参照のこと）
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都新宿区舟町4-1 メゾンド四谷 106,https://tabelog.com/tokyo/A1309/A130903/13126058/
28,00000031,中華蕎麦 ひら井,"営業時間
[月～金]11:00〜15:00[土日]11:00〜17:00売り切れ早仕舞いあり。
日曜営業
定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都府中市栄町2-11-7,https://tabelog.com/tokyo/A1326/A132602/13259078/
29,00000032,中華そば べんてん,"営業時間
11:00～14:30
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都練馬区旭町3-25-2,https://tabelog.com/tokyo/A1322/A132204/13200351/
